[0.000000] (-) TimerEvent: {}
[0.000117] (-) JobUnselected: {'identifier': 'robotiq_2f_gripper_description'}
[0.000141] (-) JobUnselected: {'identifier': 'robotiq_2f_gripper_hardware'}
[0.000158] (-) JobUnselected: {'identifier': 'robotiq_2f_gripper_interfaces'}
[0.000173] (-) JobUnselected: {'identifier': 'robotiq_2f_gripper_msgs'}
[0.000187] (-) JobUnselected: {'identifier': 'serial'}
[0.000201] (-) JobUnselected: {'identifier': 'ur'}
[0.000216] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.000230] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000244] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000258] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000272] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.000285] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.000299] (-) JobUnselected: {'identifier': 'ur_simulation_gazebo'}
[0.000315] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.000688] (ur_description) JobStarted: {'identifier': 'ur_description'}
[0.010006] (ur_description) JobProgress: {'identifier': 'ur_description', 'progress': 'cmake'}
[0.011000] (ur_description) JobProgress: {'identifier': 'ur_description', 'progress': 'build'}
[0.011062] (ur_description) Command: {'cmd': ['/usr/bin/cmake', '--build', '/ws_moveit/build/ur_description', '--', '-j12', '-l12'], 'cwd': '/ws_moveit/build/ur_description', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('HOSTNAME', 'tccw10roboticlab1-ThinkPad-L15-Gen-3'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/ws_moveit/install/ur_robot_driver/lib:/ws_moveit/install/ur_controllers/lib:/ws_moveit/install/ur_dashboard_msgs/lib:/ws_moveit/install/robotiq_2f_gripper_interfaces/lib:/ws_moveit/install/serial/lib:/ws_moveit/install/robotiq_2f_gripper_msgs/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/root'), ('OLDPWD', '/'), ('ROS_PYTHON_VERSION', '3'), ('LC_CTYPE', 'C.UTF-8'), ('COLCON_PREFIX_PATH', '/ws_moveit/install'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm'), ('ROS_LOCALHOST_ONLY', '0'), ('QT_X11_NO_MITSHM', '1'), ('PATH', '/ws_moveit/install/ur_robot_driver/bin:/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('DISPLAY', ':0'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.V3TA72'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('AMENT_PREFIX_PATH', '/ws_moveit/install/ur_simulation_gazebo:/ws_moveit/install/ur:/ws_moveit/install/ur_calibration:/ws_moveit/install/ur_robot_driver:/ws_moveit/install/ur_moveit_config:/ws_moveit/install/ur_bringup:/ws_moveit/install/ur_description:/ws_moveit/install/ur_controllers:/ws_moveit/install/ur_dashboard_msgs:/ws_moveit/install/robotiq_2f_gripper_hardware:/ws_moveit/install/robotiq_2f_gripper_interfaces:/ws_moveit/install/serial:/ws_moveit/install/robotiq_2f_gripper_msgs:/ws_moveit/install/robotiq_2f_gripper_description:/opt/ros/humble'), ('DEBIAN_FRONTEND', 'noninteractive'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('PWD', '/ws_moveit/build/ur_description'), ('PYTHONPATH', '/ws_moveit/install/ur_robot_driver/local/lib/python3.10/dist-packages:/ws_moveit/install/ur_moveit_config/local/lib/python3.10/dist-packages:/ws_moveit/install/ur_dashboard_msgs/local/lib/python3.10/dist-packages:/ws_moveit/install/robotiq_2f_gripper_msgs/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('TZ', 'Europe/Berlin'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/ws_moveit/install/ur_simulation_gazebo:/ws_moveit/install/ur:/ws_moveit/install/ur_calibration:/ws_moveit/install/ur_robot_driver:/ws_moveit/install/ur_moveit_config:/ws_moveit/install/ur_bringup:/ws_moveit/install/ur_description:/ws_moveit/install/ur_controllers:/ws_moveit/install/ur_dashboard_msgs:/ws_moveit/install/robotiq_2f_gripper_hardware:/ws_moveit/install/robotiq_2f_gripper_interfaces:/ws_moveit/install/serial:/ws_moveit/install/robotiq_2f_gripper_msgs:/ws_moveit/install/robotiq_2f_gripper_description:/opt/ros/humble')]), 'shell': False}
[0.042161] (ur_description) CommandEnded: {'returncode': 0}
[0.042987] (ur_description) JobProgress: {'identifier': 'ur_description', 'progress': 'install'}
[0.048954] (ur_description) Command: {'cmd': ['/usr/bin/cmake', '--install', '/ws_moveit/build/ur_description'], 'cwd': '/ws_moveit/build/ur_description', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('HOSTNAME', 'tccw10roboticlab1-ThinkPad-L15-Gen-3'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/ws_moveit/install/ur_robot_driver/lib:/ws_moveit/install/ur_controllers/lib:/ws_moveit/install/ur_dashboard_msgs/lib:/ws_moveit/install/robotiq_2f_gripper_interfaces/lib:/ws_moveit/install/serial/lib:/ws_moveit/install/robotiq_2f_gripper_msgs/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/root'), ('OLDPWD', '/'), ('ROS_PYTHON_VERSION', '3'), ('LC_CTYPE', 'C.UTF-8'), ('COLCON_PREFIX_PATH', '/ws_moveit/install'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm'), ('ROS_LOCALHOST_ONLY', '0'), ('QT_X11_NO_MITSHM', '1'), ('PATH', '/ws_moveit/install/ur_robot_driver/bin:/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('DISPLAY', ':0'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.V3TA72'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('AMENT_PREFIX_PATH', '/ws_moveit/install/ur_simulation_gazebo:/ws_moveit/install/ur:/ws_moveit/install/ur_calibration:/ws_moveit/install/ur_robot_driver:/ws_moveit/install/ur_moveit_config:/ws_moveit/install/ur_bringup:/ws_moveit/install/ur_description:/ws_moveit/install/ur_controllers:/ws_moveit/install/ur_dashboard_msgs:/ws_moveit/install/robotiq_2f_gripper_hardware:/ws_moveit/install/robotiq_2f_gripper_interfaces:/ws_moveit/install/serial:/ws_moveit/install/robotiq_2f_gripper_msgs:/ws_moveit/install/robotiq_2f_gripper_description:/opt/ros/humble'), ('DEBIAN_FRONTEND', 'noninteractive'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('PWD', '/ws_moveit/build/ur_description'), ('PYTHONPATH', '/ws_moveit/install/ur_robot_driver/local/lib/python3.10/dist-packages:/ws_moveit/install/ur_moveit_config/local/lib/python3.10/dist-packages:/ws_moveit/install/ur_dashboard_msgs/local/lib/python3.10/dist-packages:/ws_moveit/install/robotiq_2f_gripper_msgs/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('TZ', 'Europe/Berlin'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/ws_moveit/install/ur_simulation_gazebo:/ws_moveit/install/ur:/ws_moveit/install/ur_calibration:/ws_moveit/install/ur_robot_driver:/ws_moveit/install/ur_moveit_config:/ws_moveit/install/ur_bringup:/ws_moveit/install/ur_description:/ws_moveit/install/ur_controllers:/ws_moveit/install/ur_dashboard_msgs:/ws_moveit/install/robotiq_2f_gripper_hardware:/ws_moveit/install/robotiq_2f_gripper_interfaces:/ws_moveit/install/serial:/ws_moveit/install/robotiq_2f_gripper_msgs:/ws_moveit/install/robotiq_2f_gripper_description:/opt/ros/humble')]), 'shell': False}
[0.054404] (ur_description) StdoutLine: {'line': b'-- Install configuration: "Release"\n'}
[0.054627] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /ws_moveit/install/ur_description/share/ur_description/config\n'}
[0.054672] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /ws_moveit/install/ur_description/share/ur_description/config/ur5\n'}
